x0005,y0005
1,11713511.01,
2,11713027.38,
3,11713089.84,
4,11715347.09,
5,11714562.84,
6,11713559.36,
7,11712342.92,
8,11713731.25,
9,11711688.3,
10,11711443.42,
11,11712656.35,
12,11711665.83,
13,11711534.93,
14,11710323.13,
15,11710863.72,
16,11710729.79,
17,11710248.52,
18,11709808.53,
19,11709579.97,
20,11709925.73,
21,11710858.87,
22,11709368.66,
23,11710170.74,
24,11709890.69,
25,11711037.33,
26,11710082.67,
27,11709821.64,
28,11708525.61,
29,11709664.58,
30,11710548.84,
31,11709958.26,
32,11708598.64,
33,11708585.51,
34,11708478.26,
35,11707986.5,
36,11708821.12,
37,11706768.8,
38,11709302.48,
39,11707773.54,
40,11709360.57,
41,11708683.78,
42,11708715.54,
43,11709597.98,
44,11709369.42,
45,11708603.12,
46,11707596,
47,11708761.74,
48,11709433.33,
49,11707917.17,
50,11708809.27,
51,11708233.09,
52,11707900.89,
53,11706811.82,
54,11708373.2,
55,11707619.17,
56,11706908.66,
57,11707630.17,
58,11706536.86,
59,11707533.99,
60,11706403.71,
61,11706478.82,
62,11707116.46,
63,11707729.69,
64,11707392.04,
65,11707289.61,
66,11707536.91,
67,11707514.9,
68,11706353.1,
69,11706932.21,
70,11706987.34,
71,11706190.82,
72,11706759.88,
73,11706721.21,
74,11705925.26,
75,11705138.05,
76,11707589.66,
77,11706368.74,
78,11705972.6,
79,11707188.92,
80,11706834.26,
81,11705599.81,
82,11706193.87,
83,11707404.13,
84,11705577.4,
85,11705378.97,
86,11706050.93,
87,11705776.09,
88,11705691.44,
89,11704999.43,
90,11705825.27,
91,11706289.89,
92,11705603.38,
93,11705728.99,
94,11704561.57,
95,11704638.74,
96,11707030.15,
97,11706756.3,
98,11706294.85,
99,11705946.75,
100,11706158.96,
101,11706719.24,
102,11704813.67,
103,11706735.59,
104,11706651.11,
105,11705011.63,
106,11705561.96,
107,11706119.41,
108,11705868.14,
109,11705041.47,
110,11704314.09,
111,11706070.29,
112,11705614.76,
113,11704632.83,
114,11705793.29,
115,11705002.33,
116,11706299.16,
117,11706349.29,
118,11705730.96,
119,11705911.81,
120,11705367.56,
121,11706670.27,
122,11705105.65,
123,11705577.46,
124,11705538.77,
125,11705101.14,
126,11704339.8,
127,11704847.41,
128,11704798.47,
129,11704592.49,
130,11705063.67,
131,11705077.02,
132,11705288.2,
133,11704857.58,
134,11705310.87,
135,11704442.37,
136,11705366.17,
137,11705996.08,
138,11705010.27,
139,11705487.87,
140,11705241.74,
141,11704364.27,
142,11705239.53,
143,11703625.28,
144,11705079.92,
145,11705062.66,
146,11704453.3,
147,11704445.62,
148,11704776.93,
149,11704004.32,
150,11703952.63,
151,11704347.85,
152,11704928.56,
153,11705452.86,
154,11704672.62,
155,11703998.41,
156,11704700.71,
157,11705517.91,
158,11705763.79,
159,11705399.82,
160,11704633.79,
161,11704706.34,
162,11704610.76,
163,11704460.1,
164,11704287.19,
165,11704680.92,
166,11703648.02,
167,11703876.59,
168,11704466.96,
169,11704496.22,
170,11705050.34,
171,11706106.09,
172,11705356.25,
173,11704519.85,
174,11705076.42,
175,11705135.02,
176,11705783.39,
177,11706247.87,
178,11705068.29,
179,11704761.75,
180,11705187.51,
181,11704457.15,
182,11705106.21,
183,11703745.16,
184,11704663.86,
185,11704064.89,
186,11704234.57,
187,11703602.23,
188,11704499.16,
189,11704713.78,
190,11705588.58,
191,11705356.61,
192,11704688.09,
193,11704648.43,
194,11704802.8,
195,11704470.82,
196,11705225.68,
197,11705549.06,
198,11705327.25,
199,11704098.09,
200,11704656.68,
201,11704556.65,
202,11704384,
203,11705135.22,
204,11704227.96,
205,11702876.25,
206,11703805.31,
207,11704008.37,
208,11705290.91,
209,11705182.06,
210,11703609.38,
211,11704171.59,
212,11704985.66,
213,11704707.07,
214,11704591.15,
215,11705011.89,
216,11703573.01,
217,11704027.7,
218,11703598.34,
219,11703005.57,
220,11703686.52,
221,11705014.82,
222,11703752.88,
223,11704372.95,
224,11703979.37,
225,11704226.44,
226,11703763.88,
227,11704980.63,
228,11703879.16,
229,11704550.34,
230,11705906.48,
231,11703280.12,
232,11704180.13,
233,11704792.85,
234,11704934.41,
235,11704713.19,
236,11704013.54,
237,11702885.72,
238,11703545.65,
239,11704277.65,
240,11703415.95,
241,11704178.51,
242,11703652.22,
243,11703226.66,
244,11703181.92,
245,11703415.72,
246,11704005.68,
247,11704057.1,
248,11704056.97,
249,11705552.02,
250,11704269.34,
251,11704671.53,
252,11705143.51,
253,11704853.73,
254,11703842.88,
255,11703972.97,
256,11703779.53,
257,11704245.08,
258,11703553.88,
259,11703325.09,
260,11703561.22,
261,11703356.46,
262,11702937.2,
263,11702907.62,
264,11704288.76,
265,11701552.34,
266,11702440.24,
267,11702216.19,
268,11702182.65,
269,11703835.62,
270,11703943.96,
271,11704568.99,
272,11702307.07,
273,11702837.09,
274,11703952.1,
275,11703088.64,
276,11702715.38,
277,11702604.73,
278,11702835.27,
279,11702975.36,
280,11703443.33,
281,11702972.7,
282,11703523.48,
283,11704295.6,
284,11704771.95,
285,11703307.98,
286,11703465.89,
287,11703097.21,
288,11704336.08,
289,11702842.18,
290,11704356.64,
291,11702892.79,
292,11703620.92,
293,11702247.85,
294,11703149.64,
295,11703355.56,
296,11703583.39,
297,11703143.6,
298,11704015.29,
299,11703477.38,
300,11703198.79,
301,11703057.34,
302,11704185.07,
303,11704104.13,
304,11704262.33,
305,11703242.33,
306,11704170.55,
307,11705423.2,
308,11704509.43,
309,11703388.77,
310,11704494.53,
311,11703145.15,
312,11704435.73,
313,11702388.99,
314,11703519.88,
315,11703469.41,
316,11703249.21,
317,11703756.24,
318,11703048.28,
319,11704246.32,
320,11703725.06,
321,11704521.19,
322,11704152.48,
323,11704428.4,
324,11705575.25,
325,11704678.05,
326,11705532.76,
327,11705074.86,
328,11705702.33,
329,11705291.31,
330,11704741.21,
331,11703883.38,
332,11703943.64,
333,11704350.45,
334,11704567.18,
335,11704347.03,
336,11703830.22,
337,11704816.26,
338,11706332.19,
339,11705844.58,
340,11705091.7,
341,11705964.53,
342,11705641.71,
343,11705847.45,
344,11704934.49,
345,11704454.84,
346,11705878.27,
347,11707684.96,
348,11705281.53,
349,11705655.31,
350,11705610.63,
351,11704543.47,
352,11705883.46,
353,11705341.47,
354,11705046.52,
355,11705594.15,
356,11705897.49,
357,11705506.82,
358,11705954.13,
359,11706085.25,
360,11707291.04,
361,11706475.46,
362,11706487.67,
363,11706516.56,
364,11706431.06,
365,11706171.52,
366,11706196.61,
367,11705723.43,
368,11706164.94,
369,11703633.72,
370,11706011.45,
371,11705664.51,
372,11706121.71,
373,11707780.59,
374,11705854.15,
375,11708508.83,
