start,end,ori,sf,tf,contrast
31141,31231,0,0.02,1,0.8
86248,86338,0,0.02,1,0.8
87900,87990,0,0.02,1,0.8
112976,113066,0,0.02,1,0.8
132196,132286,0,0.02,1,0.8
184600,184690,0,0.02,1,0.8
218536,218626,0,0.02,1,0.8
221389,221479,0,0.02,1,0.8
23182,23272,0,0.02,2,0.8
41652,41742,0,0.02,2,0.8
69881,69971,0,0.02,2,0.8
73184,73274,0,0.02,2,0.8
84897,84987,0,0.02,2,0.8
91954,92044,0,0.02,2,0.8
187003,187093,0,0.02,2,0.8
194060,194150,0,0.02,2,0.8
112525,112615,0,0.02,4,0.8
113426,113516,0,0.02,4,0.8
113877,113967,0,0.02,4,0.8
115679,115769,0,0.02,4,0.8
204421,204511,0,0.02,4,0.8
212529,212619,0,0.02,4,0.8
231449,231539,0,0.02,4,0.8
235053,235143,0,0.02,4,0.8
63725,63815,0,0.02,8,0.8
81143,81233,0,0.02,8,0.8
97510,97600,0,0.02,8,0.8
122736,122826,0,0.02,8,0.8
190156,190246,0,0.02,8,0.8
202469,202559,0,0.02,8,0.8
214481,214571,0,0.02,8,0.8
236554,236644,0,0.02,8,0.8
43303,43393,0,0.02,15,0.8
79341,79431,0,0.02,15,0.8
114027,114117,0,0.02,15,0.8
127691,127781,0,0.02,15,0.8
129343,129433,0,0.02,15,0.8
132947,133037,0,0.02,15,0.8
142256,142346,0,0.02,15,0.8
163428,163518,0,0.02,15,0.8
26786,26876,0,0.04,1,0.8
35195,35285,0,0.04,1,0.8
98110,98200,0,0.04,1,0.8
117180,117270,0,0.04,1,0.8
143758,143848,0,0.04,1,0.8
161476,161566,0,0.04,1,0.8
229947,230038,0,0.04,1,0.8
236855,236945,0,0.04,1,0.8
6065,6155,0,0.04,2,0.8
15224,15314,0,0.04,2,0.8
55466,55556,0,0.04,2,0.8
110723,110814,0,0.04,2,0.8
179345,179435,0,0.04,2,0.8
204721,204811,0,0.04,2,0.8
207124,207214,0,0.04,2,0.8
220638,220728,0,0.04,2,0.8
9368,9458,0,0.04,4,0.8
34294,34384,0,0.04,4,0.8
46306,46396,0,0.04,4,0.8
73935,74025,0,0.04,4,0.8
81893,81984,0,0.04,4,0.8
96459,96549,0,0.04,4,0.8
115829,115919,0,0.04,4,0.8
240458,240549,0,0.04,4,0.8
11320,11410,0,0.04,8,0.8
36396,36486,0,0.04,8,0.8
40300,40390,0,0.04,8,0.8
113576,113666,0,0.04,8,0.8
156071,156161,0,0.04,8,0.8
189405,189495,0,0.04,8,0.8
199616,199706,0,0.04,8,0.8
235804,235894,0,0.04,8,0.8
31291,31381,0,0.04,15,0.8
31891,31981,0,0.04,15,0.8
80542,80632,0,0.04,15,0.8
106069,106159,0,0.04,15,0.8
123637,123727,0,0.04,15,0.8
159524,159614,0,0.04,15,0.8
167182,167272,0,0.04,15,0.8
171537,171627,0,0.04,15,0.8
359,449,0,0.08,1,0.8
16275,16365,0,0.08,1,0.8
67178,67268,0,0.08,1,0.8
